title,authers,url,entry_id,pdf_url,summary,summary_ja
UniMODE: Unified Monocular 3D Object Detection,Zhuoling Li · Xiaogang Xu · Ser-Nam Lim · Hengshuang Zhao,,,,,
GAFusion: Adaptive Fusing LiDAR and Camera with Multiple Guidance for 3D Object Detection,Xiaotian Li · Baojie Fan · Jiandong Tian · Huijie Fan,,,,,
BEVSpread: Spread Voxel Pooling for Bird’s-Eye-View Representation in Vision-based Roadside 3D Object Detection,Wenjie Wang · Yehao Lu · Guangcong Zheng · Shuigenzhan · Xiaoqing Ye · Zichang Tan · Zichang Tan · Jingdong Wang · Gaoang Wang · Xi Li,,,,,
Towards Robust 3D Object Detection with LiDAR and 4D Radar Fusion in Various Weather Conditions,Yujeong Chae · Hyeonseong Kim · Kuk-Jin Yoon,,,,,
Enhancing 3D Object Detection with 2D Detection-Guided Query Anchors,Haoxuanye Ji · Pengpeng Liang · Erkang Cheng,,http://arxiv.org/abs/2403.06093v1,http://arxiv.org/pdf/2403.06093v1,"Multi-camera-based 3D object detection has made notable progress in the past several years. However, we observe that there are cases (e.g. faraway regions) in which popular 2D object detectors are more reliable than state-of-the-art 3D detectors. In this paper, to improve the performance of query-based 3D object detectors, we present a novel query generating approach termed QAF2D, which infers 3D query anchors from 2D detection results. A 2D bounding box of an object in an image is lifted to a set of 3D anchors by associating each sampled point within the box with depth, yaw angle, and size candidates. Then, the validity of each 3D anchor is verified by comparing its projection in the image with its corresponding 2D box, and only valid anchors are kept and used to construct queries. The class information of the 2D bounding box associated with each query is also utilized to match the predicted boxes with ground truth for the set-based loss. The image feature extraction backbone is shared between the 3D detector and 2D detector by adding a small number of prompt parameters. We integrate QAF2D into three popular query-based 3D object detectors and carry out comprehensive evaluations on the nuScenes dataset. The largest improvement that QAF2D can bring about on the nuScenes validation subset is $2.3\%$ NDS and $2.7\%$ mAP. Code is available at https://github.com/nullmax-vision/QAF2D.",数年間、マルチカメラを基盤とした３次元物体検出技術は顕著な進歩を遂げてきました。しかし、一部の状況（例：遠方領域）では、主要な２次元物体検出器が最先端の３次元検出器よりも信頼性が高いということを観察しています。本論文では、クエリベースの３次元物体検出器の性能を向上させるために、QAF2Dという新しいクエリ生成アプローチを提案します。これは２次元の検出結果から３次元のクエリアンカーを推論するものです。画像内の物体の２次元のバウンディングボックスを、ボックス内の各サンプリング点と深度、ヨー角度、サイズ候補を関連付けることで、３次元のアンカーのセットに変換します。その後、各３次元アンカーが画像内での射影と対応する２次元ボックスを比較して、有効なアンカーのみを保持し、クエリを構築に使用します。各クエリに関連付けられた２次元バウンディングボックスのクラス情報を利用して、予測されたボックスをグラウンドトゥルースと一致させるためのセットベースの損失関数を適用します。３次元検出器と２次元検出器の画像特徴抽出バックボーンは、プロンプトパラメータを追加することで共有されています。私たちはQAF2Dを３つの人気のあるクエリベースの３次元物体検出器に統合し、nuScenesデータセットで包括的な評価を行いました。nuScenes検証サブセットでQAF2Dがもたらす最大の改善は、NDSで$2.3\%$、mAPで$2.7\%$です。コードは以下のリンクから入手可能です： https://github.com/nullmax-vision/QAF2D。
Multi-View Attentive Contextualization for Multi-View 3D Object Detection,Xianpeng Liu · Ce Zheng · Ming Qian · Nan Xue · Chen Chen · Zhebin Zhang · Chen Li · Tianfu Wu,,,,,
Weak-to-Strong 3D Object Detection with X-Ray Distillation,Alexander Gambashidze · Aleksandr Dadukin · Maksim Golyadkin · Maria Razzhivina · Ilya Makarov,,http://arxiv.org/abs/2404.00679v1,http://arxiv.org/pdf/2404.00679v1,"This paper addresses the critical challenges of sparsity and occlusion in LiDAR-based 3D object detection. Current methods often rely on supplementary modules or specific architectural designs, potentially limiting their applicability to new and evolving architectures. To our knowledge, we are the first to propose a versatile technique that seamlessly integrates into any existing framework for 3D Object Detection, marking the first instance of Weak-to-Strong generalization in 3D computer vision. We introduce a novel framework, X-Ray Distillation with Object-Complete Frames, suitable for both supervised and semi-supervised settings, that leverages the temporal aspect of point cloud sequences. This method extracts crucial information from both previous and subsequent LiDAR frames, creating Object-Complete frames that represent objects from multiple viewpoints, thus addressing occlusion and sparsity. Given the limitation of not being able to generate Object-Complete frames during online inference, we utilize Knowledge Distillation within a Teacher-Student framework. This technique encourages the strong Student model to emulate the behavior of the weaker Teacher, which processes simple and informative Object-Complete frames, effectively offering a comprehensive view of objects as if seen through X-ray vision. Our proposed methods surpass state-of-the-art in semi-supervised learning by 1-1.5 mAP and enhance the performance of five established supervised models by 1-2 mAP on standard autonomous driving datasets, even with default hyperparameters. Code for Object-Complete frames is available here: https://github.com/sakharok13/X-Ray-Teacher-Patching-Tools.",この論文は、LiDARを利用した3D物体検出におけるスパース性と遮蔽の重要な課題に取り組んでいます。現在の手法は、補助モジュールや特定のアーキテクチャ設計に依存することが多く、新しい進化するアーキテクチャへの適用範囲を制限する可能性があります。私たちの知る限り、3Dオブジェクト検出のための任意の既存フレームワークにシームレスに統合される多目的な手法を最初に提案したので、3DコンピュータビジョンにおけるWeak-to-Strongの一般化の最初の例となります。これには、点群シーケンスの時間的側面を活用する監督および半監督設定の両方に適した、新しいフレームワークであるObject-Complete Framesを備えたX-Ray Distillationを導入します。この手法は、過去および後続のLiDARフレームから重要な情報を抽出し、複数の視点からオブジェクトを表現するObject-Completeフレームを作成することで、遮蔽とスパース性に対処します。オンライン推論中にObject-Completeフレームを生成することができないという制限に鑑み、私たちはTeacher-Studentフレームワーク内でKnowledge Distillationを利用しています。この手法は、シンプルで情報豊かなObject-Completeフレームを処理する弱いTeacherの挙動を真の強いStudentモデルが模倣することを促し、X線ビジョンを通して見たかのようにオブジェクトの包括的な視点を提供します。私たちの提案手法は、半監督学習においてstate-of-the-artを1-1.5 mAP超え、標準の自動運転データセットにおいて、デフォルトのハイパーパラメータを使用しても5つの確立された監督モデルの性能を1-2 mAP向上させます。Object-Complete framesのコードはこちらで入手可能です：https://github.com/sakharok13/X-Ray-Teacher-Patching-Tools。
VSRD: Instance-Aware Volumetric Silhouette Rendering for Weakly Supervised 3D Object Detection,Zihua Liu · Hiroki Sakuma · Masatoshi Okutomi,http://www.ok.sc.e.titech.ac.jp/res/VSRD/index.html,http://arxiv.org/abs/2404.00149v1,http://arxiv.org/pdf/2404.00149v1,"Monocular 3D object detection poses a significant challenge in 3D scene understanding due to its inherently ill-posed nature in monocular depth estimation. Existing methods heavily rely on supervised learning using abundant 3D labels, typically obtained through expensive and labor-intensive annotation on LiDAR point clouds. To tackle this problem, we propose a novel weakly supervised 3D object detection framework named VSRD (Volumetric Silhouette Rendering for Detection) to train 3D object detectors without any 3D supervision but only weak 2D supervision. VSRD consists of multi-view 3D auto-labeling and subsequent training of monocular 3D object detectors using the pseudo labels generated in the auto-labeling stage. In the auto-labeling stage, we represent the surface of each instance as a signed distance field (SDF) and render its silhouette as an instance mask through our proposed instance-aware volumetric silhouette rendering. To directly optimize the 3D bounding boxes through rendering, we decompose the SDF of each instance into the SDF of a cuboid and the residual distance field (RDF) that represents the residual from the cuboid. This mechanism enables us to optimize the 3D bounding boxes in an end-to-end manner by comparing the rendered instance masks with the ground truth instance masks. The optimized 3D bounding boxes serve as effective training data for 3D object detection. We conduct extensive experiments on the KITTI-360 dataset, demonstrating that our method outperforms the existing weakly supervised 3D object detection methods. The code is available at https://github.com/skmhrk1209/VSRD.",モノキュラー3Dオブジェクト検出は、モノキュラー深度推定において本来不適切な性質から3Dシーン理解における著しい課題を提起します。既存の方法は一般的に、LiDARポイントクラウド上で高価かつ労力を要するアノテーションを通じて取得された豊富な3Dラベルを使用した教師あり学習に大きく依存しています。この問題に対処するため、我々はVSRD（Volumetric Silhouette Rendering for Detection）という新しい弱教師あり3Dオブジェクト検出フレームワークを提案しており、3D監督なしでの3Dオブジェクト検出器のトレーニングを2D弱教師のみを用いて行うことが可能です。VSRDは、多視点3D自動ラベリングと自動ラベリング段階で生成された擬似ラベルを使用してモノキュラー3Dオブジェクト検出器をトレーニングすることを可能にします。自動ラベリング段階では、各インスタンスの表面を符号付き距離場（SDF）として表現し、当該インスタンスを示すマスクを提案されたインスタンス認識のためのボリューメトリックシルエットレンダリングによって生成します。レンダリングを介して3D境界ボックスを直接最適化するために、各インスタンスのSDFを立体および残差距離フィールド（RDF）に分解します。このメカニズムにより、レンダリングされたインスタンスマスクをグラウンドトゥルーインスタンスマスクと比較することで、エンドツーエンドの方法で3D境界ボックスを最適化することが可能となります。最適化された3D境界ボックスは、3Dオブジェクト検出の効果的なトレーニングデータとして機能します。我々はKITTI-360データセットで幅広い実験を行い、弱教師あり3Dオブジェクト検出方法よりも我々の手法が優れていることを示しています。コードは https://github.com/skmhrk1209/VSRD で入手可能です。
PTT: Point-Trajectory Transformer for Efficient Temporal 3D Object Detection,Kuan-Chih Huang · Weijie Lyu · Ming-Hsuan Yang · Yi-Hsuan Tsai,,,,,
Decoupled Pseudo-labeling in Semi-Supervised Monocular 3D Object Detection,Jiacheng Zhang · Jiaming Li · Xiangru Lin · Wei Zhang · Xiao Tan · Junyu Han · Errui Ding · Jingdong Wang · Guanbin Li,,,,,
