title,authers,url,entry_id,pdf_url,summary,summary_ja
UniMODE: Unified Monocular 3D Object Detection,Zhuoling Li · Xiaogang Xu · Ser-Nam Lim · Hengshuang Zhao,,,,,
GAFusion: Adaptive Fusing LiDAR and Camera with Multiple Guidance for 3D Object Detection,Xiaotian Li · Baojie Fan · Jiandong Tian · Huijie Fan,,,,,
BEVSpread: Spread Voxel Pooling for Bird’s-Eye-View Representation in Vision-based Roadside 3D Object Detection,Wenjie Wang · Yehao Lu · Guangcong Zheng · Shuigenzhan · Xiaoqing Ye · Zichang Tan · Zichang Tan · Jingdong Wang · Gaoang Wang · Xi Li,,,,,
Towards Robust 3D Object Detection with LiDAR and 4D Radar Fusion in Various Weather Conditions,Yujeong Chae · Hyeonseong Kim · Kuk-Jin Yoon,,,,,
Enhancing 3D Object Detection with 2D Detection-Guided Query Anchors,Haoxuanye Ji · Pengpeng Liang · Erkang Cheng,,http://arxiv.org/abs/2403.06093v1,http://arxiv.org/pdf/2403.06093v1,"Multi-camera-based 3D object detection has made notable progress in the past several years. However, we observe that there are cases (e.g. faraway regions) in which popular 2D object detectors are more reliable than state-of-the-art 3D detectors. In this paper, to improve the performance of query-based 3D object detectors, we present a novel query generating approach termed QAF2D, which infers 3D query anchors from 2D detection results. A 2D bounding box of an object in an image is lifted to a set of 3D anchors by associating each sampled point within the box with depth, yaw angle, and size candidates. Then, the validity of each 3D anchor is verified by comparing its projection in the image with its corresponding 2D box, and only valid anchors are kept and used to construct queries. The class information of the 2D bounding box associated with each query is also utilized to match the predicted boxes with ground truth for the set-based loss. The image feature extraction backbone is shared between the 3D detector and 2D detector by adding a small number of prompt parameters. We integrate QAF2D into three popular query-based 3D object detectors and carry out comprehensive evaluations on the nuScenes dataset. The largest improvement that QAF2D can bring about on the nuScenes validation subset is $2.3\%$ NDS and $2.7\%$ mAP. Code is available at https://github.com/nullmax-vision/QAF2D.",過去数年間で、マルチカメラベースの3D物体検出技術は notable な進歩を遂げてきました。しかし、我々は一部のケース（例：遠方の領域など）において、2D物体検出器が最新の3D検出器よりも信頼性が高いことを観察しています。本論文では、クエリベースの3D物体検出器の性能を向上させるために、2D検出結果から3Dクエリアンカーを推論する新しいクエリ生成アプローチであるQAF2Dを提案します。画像内のオブジェクトの2Dバウンディングボックスを、ボックス内の各サンプリングされたポイントを深さ、ヨー角、サイズの候補と関連付けることで、3Dアンカーのセットに昇格させます。その後、各3Dアンカーの妥当性を、画像内での射影と対応する2Dボックスと比較することによって検証し、有効なアンカーのみが保持されクエリの構築に使用されます。各クエリに関連付けられた2Dバウンディングボックスのクラス情報も、セットベースの損失のための予測ボックスとグラウンドトゥルースをマッチングするために利用されます。画像の特徴抽出バックボーンは、わずかなプロンプトパラメータを追加することで、3D検出器と2D検出器間で共有されます。QAF2Dを3つの人気のあるクエリベースの3D物体検出器に統合し、nuScenesデータセットで包括的な評価を実施します。QAF2DがnuScenes検証サブセットにもたらす最も大きな改善は、NDSで約2.3％、mAPで約2.7％です。コードは、https://github.com/nullmax-vision/QAF2D で入手可能です。
Multi-View Attentive Contextualization for Multi-View 3D Object Detection,Xianpeng Liu · Ce Zheng · Ming Qian · Nan Xue · Chen Chen · Zhebin Zhang · Chen Li · Tianfu Wu,,,,,
Weak-to-Strong 3D Object Detection with X-Ray Distillation,Alexander Gambashidze · Aleksandr Dadukin · Maksim Golyadkin · Maria Razzhivina · Ilya Makarov,,http://arxiv.org/abs/2404.00679v1,http://arxiv.org/pdf/2404.00679v1,"This paper addresses the critical challenges of sparsity and occlusion in LiDAR-based 3D object detection. Current methods often rely on supplementary modules or specific architectural designs, potentially limiting their applicability to new and evolving architectures. To our knowledge, we are the first to propose a versatile technique that seamlessly integrates into any existing framework for 3D Object Detection, marking the first instance of Weak-to-Strong generalization in 3D computer vision. We introduce a novel framework, X-Ray Distillation with Object-Complete Frames, suitable for both supervised and semi-supervised settings, that leverages the temporal aspect of point cloud sequences. This method extracts crucial information from both previous and subsequent LiDAR frames, creating Object-Complete frames that represent objects from multiple viewpoints, thus addressing occlusion and sparsity. Given the limitation of not being able to generate Object-Complete frames during online inference, we utilize Knowledge Distillation within a Teacher-Student framework. This technique encourages the strong Student model to emulate the behavior of the weaker Teacher, which processes simple and informative Object-Complete frames, effectively offering a comprehensive view of objects as if seen through X-ray vision. Our proposed methods surpass state-of-the-art in semi-supervised learning by 1-1.5 mAP and enhance the performance of five established supervised models by 1-2 mAP on standard autonomous driving datasets, even with default hyperparameters. Code for Object-Complete frames is available here: https://github.com/sakharok13/X-Ray-Teacher-Patching-Tools.",この論文は、LiDARを利用した3Dオブジェクト検出における疎な状況と遮蔽の課題に焦点を当てています。現在の手法は、しばしば補助モジュールや特定のアーキテクチャ設計に依存しており、新しいアーキテクチャへの適用範囲が限られる可能性があります。私たちの知る限り、強弱の一般化が3Dコンピュータビジョンにおいて初めて実現される「弱→強」の例であり、既存の任意のフレームワークにシームレスに統合される汎用的な手法を提案しています。我々は、3Dオブジェクト検出のための新しいフレームワークである『X-Ray Distillation with Object-Complete Frames』を導入しました。これは、監督・半監督の両環境に適した手法で、点群シーケンスの時間的側面を最大限に活用します。この手法は、過去および未来のLiDARフレームから重要な情報を抽出し、複数の視点からオブジェクトを表現するObject-Completeフレームを作成することにより、遮蔽と疎を克服します。オンライン推論中にObject-Completeフレームを生成できないという制約を考慮して、Teacher-Studentフレームワーク内でKnowledge Distillationを使用しています。この手法により、強力なStudentモデルが、単純で情報量の多いObject-Completeフレームを処理する弱いTeacherの振る舞いを模倣するよう促すことで、オブジェクトをX線ビジョンを介して捉えたかのような包括的な視点を提供します。提案された手法は、半監督学習において最先端の手法よりも1-1.5 mAP優れ、標準の自動運転データセットにおいて5つの確立された監督学習モデルの性能をデフォルトのハイパーパラメータのままでも1-2 mAP向上させています。Object-Completeフレームのコードはこちらで入手可能です： https://github.com/sakharok13/X-Ray-Teacher-Patching-Tools.
VSRD: Instance-Aware Volumetric Silhouette Rendering for Weakly Supervised 3D Object Detection,Zihua Liu · Hiroki Sakuma · Masatoshi Okutomi,http://www.ok.sc.e.titech.ac.jp/res/VSRD/index.html,http://arxiv.org/abs/2404.00149v1,http://arxiv.org/pdf/2404.00149v1,"Monocular 3D object detection poses a significant challenge in 3D scene understanding due to its inherently ill-posed nature in monocular depth estimation. Existing methods heavily rely on supervised learning using abundant 3D labels, typically obtained through expensive and labor-intensive annotation on LiDAR point clouds. To tackle this problem, we propose a novel weakly supervised 3D object detection framework named VSRD (Volumetric Silhouette Rendering for Detection) to train 3D object detectors without any 3D supervision but only weak 2D supervision. VSRD consists of multi-view 3D auto-labeling and subsequent training of monocular 3D object detectors using the pseudo labels generated in the auto-labeling stage. In the auto-labeling stage, we represent the surface of each instance as a signed distance field (SDF) and render its silhouette as an instance mask through our proposed instance-aware volumetric silhouette rendering. To directly optimize the 3D bounding boxes through rendering, we decompose the SDF of each instance into the SDF of a cuboid and the residual distance field (RDF) that represents the residual from the cuboid. This mechanism enables us to optimize the 3D bounding boxes in an end-to-end manner by comparing the rendered instance masks with the ground truth instance masks. The optimized 3D bounding boxes serve as effective training data for 3D object detection. We conduct extensive experiments on the KITTI-360 dataset, demonstrating that our method outperforms the existing weakly supervised 3D object detection methods. The code is available at https://github.com/skmhrk1209/VSRD.",単眼 3D オブジェクト検出は、単眼深度推定における本質的な不十分な性質に起因するため、3D シーン理解において重要な課題を提起します。既存の手法は、一般的には高価で労力を要する LiDAR ポイントクラウド上での豊富な 3D ラベルによる監督学習に大きく依存しています。この問題に取り組むため、我々は、3D 監督を必要とせず、弱い 2D 監督のみを用いた新しい弱監督型 3D オブジェクト検出フレームワークである VSRD（Volumetric Silhouette Rendering for Detection）を提案します。VSRD は、多方向から得られる 3D 自動ラベリングと、自動ラベリング段階で生成された疑似ラベルを用いた単眼 3D オブジェクト検出器の後続トレーニングで構成されています。自動ラベリング段階では、各インスタンスの表面を符号付き距離フィールド（SDF）として表現し、当該インスタンスに対するインスタンス感知型体積シルエットレンダリングによってそのシルエットをレンダリングします。レンダリングを通じて直接 3D バウンディングボックスを最適化するために、各インスタンスの SDF を直方体の SDF と直方体からの残差を表現する残差距離フィールド（RDF）に分解します。このメカニズムにより、レンダリングされたインスタンスマスクをグラウンドトゥルースのインスタンスマスクと比較することで、3D バウンディングボックスをエンドツーエンドで最適化することが可能となります。最適化された 3D バウンディングボックスは、3D オブジェクト検出のための有効なトレーニングデータとなります。我々は、KITTI-360 データセットで広範な実験を行い、この方法が既存の弱監督型 3D オブジェクト検出手法を上回ることを示しています。コードは https://github.com/skmhrk1209/VSRD で入手可能です。
PTT: Point-Trajectory Transformer for Efficient Temporal 3D Object Detection,Kuan-Chih Huang · Weijie Lyu · Ming-Hsuan Yang · Yi-Hsuan Tsai,,,,,
Decoupled Pseudo-labeling in Semi-Supervised Monocular 3D Object Detection,Jiacheng Zhang · Jiaming Li · Xiangru Lin · Wei Zhang · Xiao Tan · Junyu Han · Errui Ding · Jingdong Wang · Guanbin Li,,,,,
